"","MatchNumber","RoundNumber","Location","Date","Home_Team","Away_Team"
"196","196","1","stadium","4/15/2022","FK Krylya Sovetov Samara","Krasnodar"
"197","197","1","stadium","4/15/2022","Spartak Moscow","Rubin Kazan"
"198","198","1","stadium","4/15/2022","Dynamo Moscow","Akhmat Grozny"
"199","199","1","stadium","4/15/2022","Nizhny Novgorod","Khimki"
"200","200","1","stadium","4/15/2022","Sochi","Lokomotiv Moscow"
"201","201","1","stadium","4/22/2022","Rubin Kazan","Arsenal Tula"
"202","202","1","stadium","4/22/2022","Lokomotiv Moscow","Nizhny Novgorod"
"203","203","1","stadium","4/22/2022","Ural","Ufa"
"204","204","1","stadium","4/22/2022","Krasnodar","Zenit"
"205","205","1","stadium","4/22/2022","Sochi","Akhmat Grozny"
"206","206","1","stadium","4/22/2022","Khimki","FK Krylya Sovetov Samara"
"207","207","1","stadium","4/22/2022","FK Rostov","Spartak Moscow"
"208","208","1","stadium","4/22/2022","CSKA Moscow","Dynamo Moscow"
"209","209","1","stadium","4/29/2022","Spartak Moscow","FK Krylya Sovetov Samara"
"210","210","1","stadium","4/29/2022","Dynamo Moscow","Ural"
"211","211","1","stadium","4/29/2022","Khimki","Ufa"
"212","212","1","stadium","4/29/2022","Zenit","Lokomotiv Moscow"
"213","213","1","stadium","4/29/2022","Arsenal Tula","Nizhny Novgorod"
"214","214","1","stadium","4/29/2022","Rubin Kazan","Sochi"
"215","215","1","stadium","4/29/2022","Akhmat Grozny","CSKA Moscow"
"216","216","1","stadium","4/29/2022","Krasnodar","FK Rostov"
"217","217","1","stadium","5/6/2022","Nizhny Novgorod","Akhmat Grozny"
"218","218","1","stadium","5/6/2022","Ufa","FK Rostov"
"219","219","1","stadium","5/6/2022","Lokomotiv Moscow","Rubin Kazan"
"220","220","1","stadium","5/6/2022","Zenit","Khimki"
"221","221","1","stadium","5/6/2022","CSKA Moscow","Sochi"
"222","222","1","stadium","5/6/2022","Arsenal Tula","Krasnodar"
"223","223","1","stadium","5/6/2022","FK Krylya Sovetov Samara","Dynamo Moscow"
"224","224","1","stadium","5/6/2022","Ural","Spartak Moscow"
"225","225","1","stadium","5/13/2022","Krasnodar","CSKA Moscow"
"226","226","1","stadium","5/13/2022","Lokomotiv Moscow","Dynamo Moscow"
"227","227","1","stadium","5/13/2022","Ufa","Arsenal Tula"
"228","228","1","stadium","5/13/2022","Ural","Rubin Kazan"
"229","229","1","stadium","5/13/2022","FK Rostov","Khimki"
"230","230","1","stadium","5/13/2022","Sochi","Nizhny Novgorod"
"231","231","1","stadium","5/13/2022","Akhmat Grozny","FK Krylya Sovetov Samara"
"232","232","1","stadium","5/13/2022","Spartak Moscow","Zenit"
"233","233","1","stadium","5/21/2022","Rubin Kazan","Ufa"
"234","234","1","stadium","5/21/2022","Nizhny Novgorod","Zenit"
"235","235","1","stadium","5/21/2022","Krasnodar","Akhmat Grozny"
"236","236","1","stadium","5/21/2022","Dynamo Moscow","Sochi"
"237","237","1","stadium","5/21/2022","Arsenal Tula","Ural"
"238","238","1","stadium","5/21/2022","CSKA Moscow","FK Rostov"
"239","239","1","stadium","5/21/2022","FK Krylya Sovetov Samara","Lokomotiv Moscow"
"240","240","1","stadium","5/21/2022","Khimki","Spartak Moscow"
